city,keep_frac,seed,station,MAE,RMSE,R2
madrid,0.75,42,ESCUELAS AGUIRRE,5.615752220153809,7.908427183708499,0.4312980771064758
madrid,0.75,42,PLAZA CASTILLA-CANAL,4.4819231033325195,6.509033967752771,0.5216862559318542
madrid,0.75,42,PLAZA ELÍPTICA,4.71658182144165,6.991548067829157,0.519253671169281
madrid,0.75,42,__aggregate__,5.027155876159668,8.065621651460706,0.4453622102737427
madrid,0.75,123,CASA DE CAMPO,3.247606039047241,4.526744839120157,0.4328165054321289
madrid,0.75,123,CASTELLANA,7.370471477508545,12.92633902071718,0.2878466248512268
madrid,0.75,123,CUATRO CAMINOS-PABLO,4.343020439147949,6.582165417308391,0.5416141748428345
madrid,0.75,123,ESCUELAS AGUIRRE,5.420228958129883,7.629862251288212,0.470656156539917
madrid,0.75,123,PLAZA CASTILLA-CANAL,4.549787521362305,6.499899936786137,0.5230277180671692
madrid,0.75,123,PLAZA ELÍPTICA,4.718172550201416,6.835614947747363,0.5404587984085083
madrid,0.75,123,__aggregate__,4.941547870635986,7.938258337605946,0.4627403616905212
madrid,0.75,777,CASA DE CAMPO,3.551866054534912,4.864325549901026,0.3450670838356018
madrid,0.75,777,CASTELLANA,7.112209796905518,12.328929492920553,0.352151870727539
madrid,0.75,777,CUATRO CAMINOS-PABLO,4.3640289306640625,6.580078994601457,0.5419047474861145
madrid,0.75,777,ESCUELAS AGUIRRE,5.704010009765625,7.924443357154618,0.4289922714233398
madrid,0.75,777,PLAZA CASTILLA-CANAL,4.503037929534912,6.453524597948638,0.5298095941543579
madrid,0.75,777,PLAZA ELÍPTICA,4.342569351196289,6.3326737244424764,0.6055940389633179
madrid,0.75,777,__aggregate__,4.929620742797852,7.7836275566520925,0.4834672808647156
madrid,0.5,42,CASA DE CAMPO,3.299501419067383,4.3627463809505445,0.4731687903404236
madrid,0.5,42,CASTELLANA,7.591083526611328,13.339532618992468,0.2415906190872192
madrid,0.5,42,CUATRO CAMINOS-PABLO,4.305503845214844,6.614581859518372,0.5370880365371704
madrid,0.5,42,ESCUELAS AGUIRRE,4.533445358276367,6.557983297323844,0.6089385151863098
madrid,0.5,42,PLAZA CASTILLA-CANAL,4.069459915161133,5.872903977518311,0.6106092929840088
madrid,0.5,42,PLAZA ELÍPTICA,4.476500511169434,6.596836325976168,0.5720030069351196
madrid,0.5,42,__aggregate__,4.712582111358643,7.764725508299587,0.4859730005264282
madrid,0.5,123,CASA DE CAMPO,3.1070120334625244,4.158027899666415,0.5214510560035706
madrid,0.5,123,CASTELLANA,7.6550517082214355,13.68554785058688,0.2017354965209961
madrid,0.5,123,CUATRO CAMINOS-PABLO,4.282829761505127,6.606656572864776,0.5381966829299927
madrid,0.5,123,ESCUELAS AGUIRRE,4.291533470153809,6.330540024319546,0.6355936527252197
madrid,0.5,123,PLAZA CASTILLA-CANAL,3.9221017360687256,5.700416402497736,0.6331462264060974
madrid,0.5,123,PLAZA ELÍPTICA,4.716380596160889,6.7530968237857945,0.5514867901802063
madrid,0.5,123,__aggregate__,4.662484645843506,7.814581753893247,0.4793508052825928
madrid,0.5,777,CASA DE CAMPO,3.1956660747528076,4.2218221145807515,0.5066542625427246
madrid,0.5,777,CASTELLANA,7.599624156951904,13.538957123255528,0.2187449336051941
madrid,0.5,777,CUATRO CAMINOS-PABLO,4.294285297393799,6.58587581293397,0.5410972833633423
madrid,0.5,777,ESCUELAS AGUIRRE,4.352879047393799,6.344933009594367,0.633934736251831
madrid,0.5,777,PLAZA CASTILLA-CANAL,4.033771514892578,5.796183665712287,0.620716392993927
madrid,0.5,777,PLAZA ELÍPTICA,4.625811576843262,6.667333982765836,0.5628064870834351
madrid,0.5,777,__aggregate__,4.683672904968262,7.776118658612552,0.4844633936882019
madrid,0.25,42,CASA DE CAMPO,3.0850040912628174,4.054257291046886,0.5450390577316284
madrid,0.25,42,CASTELLANA,6.665543556213379,11.164456466653483,0.4687516093254089
