city,model,station,seed,MAE,RMSE,R2
beijing,LSTM,Wanshouxigong,42,11.72694492340088,25.213968383817654,0.9398995637893676
beijing,LSTM,__aggregate__,42,10.60173797607422,21.193614156293854,0.9476108551025392
beijing,LSTM,Aotizhongxin,777,10.87460994720459,20.667518762229523,0.9507269263267516
beijing,LSTM,Changping,777,10.416531562805176,19.90845519207268,0.9391319155693054
beijing,LSTM,Dingling,777,8.549769401550293,17.52197020021623,0.9478588700294496
beijing,LSTM,Dongsi,777,11.493734359741213,23.274038050324847,0.9473830461502076
beijing,LSTM,Guanyuan,777,11.38117504119873,21.32183186117027,0.9492406249046326
beijing,LSTM,Gucheng,777,10.902595520019531,22.44630433655261,0.9496086835861206
beijing,LSTM,Huairou,777,8.708660125732422,19.307674261815965,0.9362086653709412
beijing,LSTM,Nongzhanguan,777,11.072033882141112,21.40410929647367,0.9528786540031432
beijing,LSTM,Shunyi,777,10.93270492553711,21.499838185255896,0.9446407556533812
beijing,LSTM,Tiantan,777,10.98311996459961,20.43134254768348,0.9527235627174376
beijing,LSTM,Wanliu,777,10.073525428771973,20.04688946194919,0.9512762427330016
beijing,LSTM,Wanshouxigong,777,11.719809532165527,25.188832742345863,0.9400193691253662
beijing,LSTM,__aggregate__,777,10.592355728149414,21.169180092554733,0.9477315545082092
london,Persistence,BL0,-,0.27299466729164124,0.7450187488091276,0.9248639941215515
london,Persistence,BT4,-,2.1946141719818115,3.136404361385061,0.7247602939605713
london,Persistence,CT3,-,0.29736441373825073,1.0010021671648983,0.7400837540626526
london,Persistence,GN0,-,0.5912335515022278,1.3654490726378818,0.7108862996101379
london,Persistence,KC1,-,0.784542441368103,1.4185165314005217,0.9134088754653931
london,Persistence,LH0,-,0.26932772994041443,0.9077328356457223,0.8979107141494751
london,Persistence,RB7,-,1.6997536420822144,2.7119622396242815,0.682328462600708
london,Persistence,TH4,-,1.6819908618927002,2.6736384589928233,0.8511860370635986
london,Persistence,__aggregate__,-,0.9739776849746704,1.9556900880636832,0.8285684585571289
london,ARIMA,BL0,-,0.3005418728111744,0.7908589166932581,0.9153334666589988
london,ARIMA,BT4,-,2.178959687955613,3.063297182696147,0.7374419854177425
london,ARIMA,CT3,-,0.2848749546526899,0.9375935785711764,0.7719696385819348
london,ARIMA,GN0,-,0.5560784225838671,1.307104918956235,0.7350654841082738
london,ARIMA,KC1,-,0.7312899742560598,1.3470896787536726,0.9219096270918218
london,ARIMA,LH0,-,0.2613257188471628,0.9232095098050394,0.8943998002048708
london,ARIMA,RB7,-,1.6628860561962704,2.56714229656153,0.7153502157099545
london,ARIMA,TH4,-,1.6541799760722111,2.618432857176199,0.8572680314982858
london,ARIMA,__aggregate__,-,0.9537670829218812,1.894407197624732,0.8391439728840042
london,XGBoost,BL0,42,0.407024469639255,0.8620227757464994,0.8994108291858596
london,XGBoost,BT4,42,2.21692217311575,3.068044704686586,0.7366275258395221
london,XGBoost,CT3,42,0.6033204676451075,1.062569394884954,0.7071278788413443
london,XGBoost,GN0,42,0.7822458066211301,1.391309920826609,0.6998312974612344
london,XGBoost,KC1,42,0.7626467575671292,1.362041727285542,0.9201664751323652
london,XGBoost,LH0,42,0.3796464991851833,0.9456230435834856,0.8892100682733803
london,XGBoost,RB7,42,1.69531659578166,2.5074950739967625,0.7284241474668507
london,XGBoost,TH4,42,1.7139413815242153,2.694706467581916,0.8488315010169989
london,XGBoost,__aggregate__,42,1.0701330188849287,1.9209084338720683,0.8346120003052289
london,LSTM,BL0,123,0.3216922581195831,0.7460291969374292,0.92466002702713
london,LSTM,BT4,123,2.190098762512207,3.1059270556568186,0.7300834655761719
london,LSTM,CT3,123,0.3457977473735809,0.9922588953478224,0.7446044087409973
london,LSTM,GN0,123,0.6290207505226135,1.3547430376858425,0.7154022455215454
london,LSTM,KC1,123,0.792036771774292,1.4152712213582537,0.9138046503067015
london,LSTM,LH0,123,0.3253350257873535,0.905644280154052,0.898379921913147
london,LSTM,RB7,123,1.7107386589050293,2.6808661268333487,0.689571738243103
london,LSTM,TH4,123,1.674575686454773,2.653161081668575,0.8534568548202515
london,LSTM,__aggregate__,123,0.9986618757247924,1.9388380045196596,0.8315101861953735
london,LSTM,BL0,42,0.3034835159778595,0.7466352405136404,0.9245375990867616
london,LSTM,BT4,42,2.185947895050049,3.101139376049954,0.7309149503707886
london,LSTM,CT3,42,0.3340837359428406,0.9898764661336592,0.7458293437957764
london,LSTM,GN0,42,0.6174424886703491,1.3532550335220883,0.716027021408081
london,LSTM,KC1,42,0.7934991121292114,1.4206488216364783,0.9131484031677246
london,LSTM,LH0,42,0.3018239438533783,0.9023902187519884,0.89910888671875
london,LSTM,RB7,42,1.6985290050506592,2.6742051877862805,0.6911124587059021
london,LSTM,TH4,42,1.6729791164398191,2.650999467335248,0.8536955118179321
london,LSTM,__aggregate__,42,0.988473653793335,1.9364079504929796,0.8319322466850281
london,LSTM,BL0,777,0.2871759533882141,0.7442121896849072,0.9250265955924988
london,LSTM,BT4,777,2.1794369220733643,3.09874961000527,0.7313295006752014
london,LSTM,CT3,777,0.3175734579563141,0.987977746490875,0.7468034625053406
london,LSTM,GN0,777,0.6016798615455627,1.3510629248827746,0.7169463038444519
london,LSTM,KC1,777,0.7904402613639832,1.4185655247073303,0.9134029150009156
london,LSTM,LH0,777,0.2846564650535583,0.899802290869987,0.8996867537498474
london,LSTM,RB7,777,1.691490888595581,2.6746326515162115,0.6910136938095093
london,LSTM,TH4,777,1.670863389968872,2.649332261079374,0.853879451751709
london,LSTM,__aggregate__,777,0.9779146909713744,1.934947270308235,0.8321857452392578
madrid,Persistence,CASA DE CAMPO,-,2.3772268295288086,3.799624354216387,0.6003931760787964
madrid,Persistence,CASTELLANA,-,3.0353894233703613,5.242518407437339,0.8828607797622681
madrid,Persistence,CUATRO CAMINOS-PABLO,-,2.5105042457580566,4.152070432120705,0.8176007270812988
madrid,Persistence,ESCUELAS AGUIRRE,-,3.2291624546051025,5.5313834481386115,0.7217904329299927
madrid,Persistence,PLAZA CASTILLA-CANAL,-,2.842628002166748,4.730003428548655,0.7474178075790405
madrid,Persistence,PLAZA ELÍPTICA,-,3.257066488265991,5.44112196684256,0.7088302373886108
madrid,Persistence,__aggregate__,-,2.8753294944763184,4.860311632565284,0.7985988259315491
madrid,ARIMA,CASA DE CAMPO,-,2.338593214947715,3.6872367430320834,0.6236831757781685
madrid,ARIMA,CASTELLANA,-,3.025788373660283,5.100881764256877,0.8891047547018511
madrid,ARIMA,CUATRO CAMINOS-PABLO,-,2.520145531977184,4.050536362380655,0.8264124044417539
madrid,ARIMA,ESCUELAS AGUIRRE,-,3.168503080469689,5.30842978563621,0.7437660486651894
madrid,ARIMA,PLAZA CASTILLA-CANAL,-,2.8499143805433436,4.557666190546363,0.7654881085004916
madrid,ARIMA,PLAZA ELÍPTICA,-,3.2134483911328053,5.270641997685017,0.7267901422919041
madrid,ARIMA,__aggregate__,-,2.852732162121836,4.703774536764815,0.8113630414009094
madrid,XGBoost,CASA DE CAMPO,42,2.3238794996344105,3.529135163323996,0.6552627816669447
madrid,XGBoost,CASTELLANA,42,3.3620936719628123,5.225889582789615,0.8836027095551342
madrid,XGBoost,CUATRO CAMINOS-PABLO,42,2.676849654767551,4.177744994641075,0.8153380266825416
madrid,XGBoost,ESCUELAS AGUIRRE,42,3.370657105986356,5.371399336982903,0.7376510069761801
