city,station,seed,topology,r2_linear,r2_gcn,delta_r2
beijing,Changping,42,correlation,0.9424312640052158,0.9185670949656128,-0.023864169039602978
beijing,Dingling,42,correlation,0.9479688161484422,0.8227748635276729,-0.12519395262076927
beijing,Dongsi,42,correlation,0.948953240451891,0.9335992091895884,-0.015354031262302614
beijing,Guanyuan,42,correlation,0.950513786965418,0.93268499208665,-0.017828794878767984
beijing,Gucheng,42,correlation,0.9517708185980877,0.8655334915878912,-0.08623732701019649
beijing,Huairou,42,correlation,0.938409963685503,0.8679791886618724,-0.0704307750236306
beijing,Nongzhanguan,42,correlation,0.9548772818864216,0.9401275066939332,-0.014749775192488435
beijing,Shunyi,42,correlation,0.9478580949292164,0.8849314639352153,-0.06292663099400109
beijing,Tiantan,42,correlation,0.9544165168550628,0.9406854342389908,-0.013731082616072032
beijing,Wanliu,42,correlation,0.9516541450783425,0.924681986423186,-0.026972158655156453
beijing,Wanshouxigong,42,correlation,0.9428718730582548,0.9242029096708868,-0.01866896338736801
beijing,Aotizhongxin,777,correlation,0.9510249980296072,0.9392914578520686,-0.011733540177538582
beijing,Changping,777,correlation,0.9402095309158782,0.9184093401947118,-0.021800190721166457
beijing,Dingling,777,correlation,0.9453687335195388,0.8182610239558051,-0.12710770956373363
beijing,Dongsi,777,correlation,0.9482151790663788,0.933139301990673,-0.01507587707570579
beijing,Guanyuan,777,correlation,0.9498149162759276,0.9338360743277736,-0.01597884194815402
beijing,Gucheng,777,correlation,0.9507385884466628,0.8619076680466711,-0.08883092039999174
beijing,Huairou,777,correlation,0.9366448626388306,0.860459134579413,-0.07618572805941759
beijing,Nongzhanguan,777,correlation,0.9541486141685508,0.9402548957452548,-0.013893718423296009
beijing,Shunyi,777,correlation,0.9471605471470004,0.8819568394347904,-0.06520370771220996
beijing,Tiantan,777,correlation,0.9533948099506104,0.94109793750576,-0.012296872444850449
beijing,Wanliu,777,correlation,0.9504989255056254,0.9227072453124942,-0.027791680193131274
beijing,Wanshouxigong,777,correlation,0.9424993767964832,0.9235268298014268,-0.01897254699505646
london,BL0,123,distance,0.8758797079469604,-0.4040443598697034,-1.2799240678166637
london,BT4,123,distance,0.7579890075947056,0.4516936556188912,-0.30629535197581437
london,CT3,123,distance,0.7216150729321229,-1.335939102760027,-2.05755417569215
london,GN0,123,distance,0.7163973360745182,-0.2121384454066128,-0.928535781481131
london,KC1,123,distance,0.8907339846125801,0.7193043682132672,-0.17142961639931298
london,LH0,123,distance,0.8622730785327934,0.5741711398996565,-0.28810193863313693
london,RB7,123,distance,0.7220598747404026,0.5223217615810622,-0.1997381131593403
london,TH4,123,distance,0.8664169536530789,0.4656809540159367,-0.40073599963714224
london,BL0,42,distance,0.9071942708790216,-0.451399336355698,-1.3585936072347196
london,BT4,42,distance,0.7608215126495824,0.469356630134575,-0.2914648825150074
london,CT3,42,distance,0.7584555109596508,-1.153228510202135,-1.9116840211617858
london,GN0,42,distance,0.7415797223946533,-0.1957666050774185,-0.9373463274720718
london,KC1,42,distance,0.901552744785484,0.711347482067789,-0.190205262717695
london,LH0,42,distance,0.8951224979619998,0.5604754648402421,-0.3346470331217577
london,RB7,42,distance,0.7280985663470754,0.5244415940170346,-0.20365697233004076
london,TH4,42,distance,0.8669175599917451,0.4821115229187734,-0.38480603707297173
london,BL0,777,distance,0.8930280287623692,-0.2640041248935494,-1.1570321536559187
london,BT4,777,distance,0.7636374864331803,0.342699639459692,-0.4209378469734883
london,CT3,777,distance,0.7548665016322351,-1.987676994292067,-2.742543495924302
london,GN0,777,distance,0.7407085614709887,-0.3935109361768321,-1.1342194976478208
london,KC1,777,distance,0.8992727771794625,0.7410715339672829,-0.15820124321217965
london,LH0,777,distance,0.8795000086690784,0.5817420251774122,-0.29775798349166616
london,RB7,777,distance,0.7282296353094675,0.5825037941692652,-0.14572584114020226
london,TH4,777,distance,0.8671096852933102,0.4218156762411073,-0.44529400905220295
london,BL0,123,correlation,0.8758797079469604,-0.0469825511407961,-0.9228622590877564
london,BT4,123,correlation,0.7579890075947056,0.538944170105178,-0.21904483748952752
london,CT3,123,correlation,0.7216150729321229,-1.3190520820816205,-2.040667155013743
london,GN0,123,correlation,0.7163973360745182,-0.2251744525576207,-0.9415717886321389
london,KC1,123,correlation,0.8907339846125801,0.6840820660113062,-0.20665191860127397
london,LH0,123,correlation,0.8622730785327934,-0.4426637536625759,-1.3049368321953694
london,RB7,123,correlation,0.7220598747404026,0.4009885352523882,-0.32107133948801436
london,TH4,123,correlation,0.8664169536530789,0.4667172608484137,-0.3996996928046652
london,BL0,42,correlation,0.9071942708790216,0.0649026828031331,-0.8422915880758886
london,BT4,42,correlation,0.7608215126495824,0.5218959001848218,-0.23892561246476063
london,CT3,42,correlation,0.7584555109596508,-1.4616338158603177,-2.2200893268199686
london,GN0,42,correlation,0.7415797223946533,-0.2956887347591579,-1.0372684571538113
